Order,Start_Date,End_Date,First_Name,Middle_Name,Last_Name,Party,Wiki_URL
1,04/30/1789,03/04/1797,George,,Washington,Unaffiliated,https://en.wikipedia.org/wiki/Presidency_of_George_Washington
2,03/04/1797,03/04/1801,John,,Adams,Federalist,https://en.wikipedia.org/wiki/Presidency_of_John_Adams
3,03/04/1801,03/04/1809,Thomas,,Jefferson,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_Thomas_Jefferson
4,03/04/1809,03/04/1817,James,,Madison,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_James_Madison
5,03/04/1817,03/04/1825,James,,Monroe,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_James_Monroe
6,03/04/1825,03/04/1829,John,Quincy,Adams,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_John_Quincy_Adams
7,03/04/1829,03/04/1837,Andrew,,Jackson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Jackson
8,03/04/1837,03/04/1841,Martin,Van,Buren,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Martin_Van_Buren
9,03/04/1841,04/04/1841,William,Henry,Harrison,Whig,https://en.wikipedia.org/wiki/William_Henry_Harrison#Presidency_(1841)
10,04/04/1841,03/04/1845,John,,Tyler,Whig,https://en.wikipedia.org/wiki/Presidency_of_John_Tyler
11,03/04/1845,03/04/1849,James,K.,Polk,Democratic,https://en.wikipedia.org/wiki/Presidency_of_James_K._Polk
12,03/04/1849,07/09/1850,Zachary,,Taylor,Whig,https://en.wikipedia.org/wiki/Presidency_of_Zachary_Taylor
13,07/09/1850,03/04/1853,Millard,,Fillmore,Whig,https://en.wikipedia.org/wiki/Presidency_of_Millard_Fillmore
14,03/04/1853,03/04/1857,Franklin,,Pierce,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Franklin_Pierce
15,03/04/1857,03/04/1861,James,,Buchanan,Democratic,https://en.wikipedia.org/wiki/Presidency_of_James_Buchanan
16,03/04/1861,04/15/1865,Abraham,,Lincoln,Republican,https://en.wikipedia.org/wiki/Presidency_of_Abraham_Lincoln
17,04/15/1865,03/04/1869,Andrew,,Johnson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Johnson
18,03/04/1869,03/04/1877,Ulysses,S.,Grant,Republican,https://en.wikipedia.org/wiki/Presidency_of_Ulysses_S._Grant
19,03/04/1877,03/04/1881,Rutherford,B.,Hayes,Republican,https://en.wikipedia.org/wiki/Presidency_of_Rutherford_B._Hayes
20,03/04/1881,09/19/1881,James,A.,Garfield,Republican,"https://en.wikipedia.org/wiki/James_A._Garfield#Presidency,_1881"
21,09/19/1881,03/04/1885,Chester,A.,Arthur,Republican,https://en.wikipedia.org/wiki/Presidency_of_Chester_A._Arthur
22,03/04/1885,03/04/1889,Grover,,Cleveland,Democratic,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland
23,03/04/1889,03/04/1893,Benjamin,,Harrison,Republican,https://en.wikipedia.org/wiki/Presidency_of_Benjamin_Harrison
24,03/04/1893,03/04/1897,Grover,,Cleveland,Democratic,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland
25,03/04/1897,09/14/1901,William,,McKinley,Republican,https://en.wikipedia.org/wiki/Presidency_of_William_McKinley
26,09/14/1901,03/04/1909,Theodore,,Roosevelt,Republican,https://en.wikipedia.org/wiki/Presidency_of_Theodore_Roosevelt
27,03/04/1909,03/04/1913,William,Howard,Taft,Republican,https://en.wikipedia.org/wiki/Presidency_of_William_Howard_Taft
28,03/04/1913,03/04/1921,Woodrow,,Wilson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Woodrow_Wilson
29,03/04/1921,08/02/1923,Warren,G.,Harding,Republican,https://en.wikipedia.org/wiki/Presidency_of_Warren_G._Harding
30,08/02/1923,03/04/1929,Calvin,,Coolidge,Republican,https://en.wikipedia.org/wiki/Presidency_of_Calvin_Coolidge
31,03/04/1929,03/04/1933,Herbert,,Hoover,Republican,https://en.wikipedia.org/wiki/Presidency_of_Herbert_Hoover
32,03/04/1933,04/12/1945,Franklin,D.,Roosevelt,Democratic,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
33,04/12/1945,01/20/1953,Harry,S.,Truman,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Harry_S._Truman
34,01/20/1953,01/20/1961,Dwight,D.,Eisenhower,Republican,https://en.wikipedia.org/wiki/Presidency_of_Dwight_D._Eisenhower
35,01/20/1961,11/22/1963,John,F.,Kennedy,Democratic,https://en.wikipedia.org/wiki/Presidency_of_John_F._Kennedy
36,11/22/1963,01/20/1969,Lyndon,B.,Johnson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Lyndon_B._Johnson
37,01/20/1969,08/09/1974,Richard,,Nixon,Republican,https://en.wikipedia.org/wiki/Presidency_of_Richard_Nixon
38,08/09/1974,01/20/1977,Gerald,,Ford,Republican,https://en.wikipedia.org/wiki/Presidency_of_Gerald_Ford
39,01/20/1977,01/20/1981,Jimmy,,Carter,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Jimmy_Carter
40,01/20/1981,01/20/1989,Ronald,,Reagan,Republican,https://en.wikipedia.org/wiki/Presidency_of_Ronald_Reagan
41,01/20/1989,01/20/1993,George,H. W.,Bush,Republican,https://en.wikipedia.org/wiki/Presidency_of_George_H._W._Bush
42,01/20/1993,01/20/2001,Bill,,Clinton,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Bill_Clinton
43,01/20/2001,01/20/2009,George,W.,Bush,Republican,https://en.wikipedia.org/wiki/Presidency_of_George_W._Bush
44,01/20/2009,01/20/2017,Barack,,Obama,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Barack_Obama
45,01/20/2017,01/20/2020,Donald,,Trump,Republican,https://en.wikipedia.org/wiki/Presidency_of_Donald_Trump
46,01/20/2020,01/20/2024,Joe,,Biden,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Joe_Biden