Order,Start_Date,End_Date,Full_Name,Party,First_Name,Middle_Name,Last_Name,Wiki_URL
1,1789-04-30,1797-03-04,George Washington,Unaffiliated,George,,Washington,https://en.wikipedia.org/wiki/Presidency_of_George_Washington
2,1797-03-04,1801-03-04,John Adams,Federalist,John,,Adams,https://en.wikipedia.org/wiki/Presidency_of_John_Adams
3,1801-03-04,1809-03-04,Thomas Jefferson,Democratic-Republican,Thomas,,Jefferson,https://en.wikipedia.org/wiki/Presidency_of_Thomas_Jefferson
4,1809-03-04,1817-03-04,James Madison,Democratic-Republican,James,,Madison,https://en.wikipedia.org/wiki/Presidency_of_James_Madison
5,1817-03-04,1825-03-04,James Monroe,Democratic-Republican,James,,Monroe,https://en.wikipedia.org/wiki/Presidency_of_James_Monroe
6,1825-03-04,1829-03-04,John Quincy Adams,Democratic-Republican,John,Quincy,Adams,https://en.wikipedia.org/wiki/Presidency_of_John_Quincy_Adams
7,1829-03-04,1837-03-04,Andrew Jackson,Democratic,Andrew,,Jackson,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Jackson
8,1837-03-04,1841-03-04,Martin Van Buren,Democratic,Martin,,Van Buren,https://en.wikipedia.org/wiki/Presidency_of_Martin_Van_Buren
9,1841-03-04,1841-04-04,William Henry Harrison,Whig,William,Henry,Harrison,https://en.wikipedia.org/wiki/William_Henry_Harrison#Presidency_(1841)
10,1841-04-04,1845-03-04,John Tyler,Whig,John,,Tyler,https://en.wikipedia.org/wiki/Presidency_of_John_Tyler
11,1845-03-04,1849-03-04,James K. Polk,Democratic,James,K.,Polk,https://en.wikipedia.org/wiki/Presidency_of_James_K._Polk
12,1849-03-04,1850-07-09,Zachary Taylor,Whig,Zachary,,Taylor,https://en.wikipedia.org/wiki/Presidency_of_Zachary_Taylor
13,1850-07-09,1853-03-04,Millard Fillmore,Whig,Millard,,Fillmore,https://en.wikipedia.org/wiki/Presidency_of_Millard_Fillmore
14,1853-03-04,1857-03-04,Franklin Pierce,Democratic,Franklin,,Pierce,https://en.wikipedia.org/wiki/Presidency_of_Franklin_Pierce
15,1857-03-04,1861-03-04,James Buchanan,Democratic,James,,Buchanan,https://en.wikipedia.org/wiki/Presidency_of_James_Buchanan
16,1861-03-04,1865-04-15,Abraham Lincoln,Republican,Abraham,,Lincoln,https://en.wikipedia.org/wiki/Presidency_of_Abraham_Lincoln
17,1865-04-15,1869-03-04,Andrew Johnson,Democratic,Andrew,,Johnson,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Johnson
18,1869-03-04,1877-03-04,Ulysses S. Grant,Republican,Ulysses,S.,Grant,https://en.wikipedia.org/wiki/Presidency_of_Ulysses_S._Grant
19,1877-03-04,1881-03-04,Rutherford B. Hayes,Republican,Rutherford,B.,Hayes,https://en.wikipedia.org/wiki/Presidency_of_Rutherford_B._Hayes
20,1881-03-04,1881-09-19,James A. Garfield,Republican,James,A.,Garfield,"https://en.wikipedia.org/wiki/James_A._Garfield#Presidency,_1881"
21,1881-09-19,1885-03-04,Chester A. Arthur,Republican,Chester,A.,Arthur,https://en.wikipedia.org/wiki/Presidency_of_Chester_A._Arthur
22,1885-03-04,1889-03-04,Grover Cleveland,Democratic,Grover,,Cleveland,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland
23,1889-03-04,1893-03-04,Benjamin Harrison,Republican,Benjamin,,Harrison,https://en.wikipedia.org/wiki/Presidency_of_Benjamin_Harrison
24,1893-03-04,1897-03-04,Grover Cleveland,Democratic,Grover,,Cleveland,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland
25,1897-03-04,1901-09-14,William McKinley,Republican,William,,McKinley,https://en.wikipedia.org/wiki/Presidency_of_William_McKinley
26,1901-09-14,1909-03-04,Theodore Roosevelt,Republican,Theodore,,Roosevelt,https://en.wikipedia.org/wiki/Presidency_of_Theodore_Roosevelt
27,1909-03-04,1913-03-04,William Howard Taft,Republican,William,Howard,Taft,https://en.wikipedia.org/wiki/Presidency_of_William_Howard_Taft
28,1913-03-04,1921-03-04,Woodrow Wilson,Democratic,Woodrow,,Wilson,https://en.wikipedia.org/wiki/Presidency_of_Woodrow_Wilson
29,1921-03-04,1923-08-02,Warren G. Harding,Republican,Warren,G.,Harding,https://en.wikipedia.org/wiki/Presidency_of_Warren_G._Harding
30,1923-08-02,1929-03-04,Calvin Coolidge,Republican,Calvin,,Coolidge,https://en.wikipedia.org/wiki/Presidency_of_Calvin_Coolidge
31,1929-03-04,1933-03-04,Herbert Hoover,Republican,Herbert,,Hoover,https://en.wikipedia.org/wiki/Presidency_of_Herbert_Hoover
32,1933-03-04,1945-04-12,Franklin D. Roosevelt,Democratic,Franklin,D.,Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
33,1945-04-12,1953-01-20,Harry S. Truman,Democratic,Harry,S.,Truman,https://en.wikipedia.org/wiki/Presidency_of_Harry_S._Truman
34,1953-01-20,1961-01-20,Dwight D. Eisenhower,Republican,Dwight,D.,Eisenhower,https://en.wikipedia.org/wiki/Presidency_of_Dwight_D._Eisenhower
35,1961-01-20,1963-11-22,John F. Kennedy,Democratic,John,F.,Kennedy,https://en.wikipedia.org/wiki/Presidency_of_John_F._Kennedy
36,1963-11-22,1969-01-20,Lyndon B. Johnson,Democratic,Lyndon,B.,Johnson,https://en.wikipedia.org/wiki/Presidency_of_Lyndon_B._Johnson
37,1969-01-20,1974-08-09,Richard Nixon,Republican,Richard,,Nixon,https://en.wikipedia.org/wiki/Presidency_of_Richard_Nixon
38,1974-08-09,1977-01-20,Gerald Ford,Republican,Gerald,,Ford,https://en.wikipedia.org/wiki/Presidency_of_Gerald_Ford
39,1977-01-20,1981-01-20,Jimmy Carter,Democratic,Jimmy,,Carter,https://en.wikipedia.org/wiki/Presidency_of_Jimmy_Carter
40,1981-01-20,1989-01-20,Ronald Reagan,Republican,Ronald,,Reagan,https://en.wikipedia.org/wiki/Presidency_of_Ronald_Reagan
41,1989-01-20,1993-01-20,George H. W. Bush,Republican,George,H. W.,Bush,https://en.wikipedia.org/wiki/Presidency_of_George_H._W._Bush
42,1993-01-20,2001-01-20,Bill Clinton,Democratic,Bill,,Clinton,https://en.wikipedia.org/wiki/Presidency_of_Bill_Clinton
43,2001-01-20,2009-01-20,George W. Bush,Republican,George,W.,Bush,https://en.wikipedia.org/wiki/Presidency_of_George_W._Bush
44,2009-01-20,2017-01-20,Barack Obama,Democratic,Barack,,Obama,https://en.wikipedia.org/wiki/Presidency_of_Barack_Obama
45,2017-01-20,2021-01-20,Donald Trump,Republican,Donald,,Trump,https://en.wikipedia.org/wiki/Presidency_of_Donald_Trump
46,2021-01-20,2025-01-20,Joe Biden,Democratic,Joe,,Biden,https://en.wikipedia.org/wiki/Presidency_of_Joe_Biden